"Medicare Risk Adjustment Model CPT/HCPCS Filtering Included List, Calendar Year (CY) 2015",,
CPT only copyright 2015 American Medical Association.  All rights reserved.,,
HCPCS/CPT Code,2015 Short Description,In CY2015 Included List?
00120,Anesth ear surgery,yes
00124,Anesth ear exam,yes
00126,Anesth tympanotomy,yes
00140,Anesth procedures on eye,yes
00142,Anesth lens surgery,yes
00144,Anesth corneal transplant,yes
00145,Anesth vitreoretinal surg,yes
00147,Anesth iridectomy,yes
00148,Anesth eye exam,yes
00160,Anesth nose/sinus surgery,yes
00162,Anesth nose/sinus surgery,yes
00164,Anesth biopsy of nose,yes
00170,Anesth procedure on mouth,yes
00172,Anesth cleft palate repair,yes
00174,Anesth pharyngeal surgery,yes
00176,Anesth pharyngeal surgery,yes
00190,Anesth face/skull bone surg,yes
00192,Anesth facial bone surgery,yes
00210,Anesth cranial surg nos,yes
00211,Anesth cran surg hemotoma,yes
00212,Anesth skull drainage,yes
00214,Anesth skull drainage,yes
00215,Anesth skull repair/fract,yes
00216,Anesth head vessel surgery,yes
00218,Anesth special head surgery,yes
00220,Anesth intrcrn nerve,yes
00222,Anesth head nerve surgery,yes
00300,Anesth head/neck/ptrunk,yes
00320,Anesth neck organ 1yr/>,yes
00322,Anesth biopsy of thyroid,yes
00326,Anesth larynx/trach < 1 yr,yes
00350,Anesth neck vessel surgery,yes
00352,Anesth neck vessel surgery,yes
00400,Anesth skin ext/per/atrunk,yes
00402,Anesth surgery of breast,yes
00404,Anesth surgery of breast,yes
00406,Anesth surgery of breast,yes
00410,Anesth correct heart rhythm,yes
00450,Anesth surgery of shoulder,yes
00454,Anesth collar bone biopsy,yes
00470,Anesth removal of rib,yes
00472,Anesth chest wall repair,yes
00474,Anesth surgery of rib,yes
00500,Anesth esophageal surgery,yes
00520,Anesth chest procedure,yes
00522,Anesth chest lining biopsy,yes
00524,Anesth chest drainage,yes
00528,Anes mediascpy & dx thorscpy,yes
00529,Anes medscpy&thorscpy 1 lung,yes
00530,Anesth pacemaker insertion,yes
00532,Anesth vascular access,yes
00534,Anesth cardioverter/defib,yes
00537,Anesth cardiac electrophys,yes
00539,Anesth trach-bronch reconst,yes
00540,Anesth chest surgery,yes
00541,Anesth one lung ventilation,yes
00542,Anesthesia removal pleura,yes
00546,Anesth lung chest wall surg,yes
00548,Anesth trachea bronchi surg,yes
00550,Anesth sternal debridement,yes
00560,Anesth heart surg w/o pump,yes
00561,Anesth heart surg <1 yr,yes
00562,Anesth hrt surg w/pmp age 1+,yes
00563,Anesth heart surg w/arrest,yes
00566,Anesth cabg w/o pump,yes
00567,Anesth cabg w/pump,yes
00580,Anesth heart/lung transplnt,yes
00600,Anesth spine cord surgery,yes
00604,Anesth sitting procedure,yes
00620,Anesth spine cord surgery,yes
00625,Anes spine tranthor w/o vent,yes
00626,Anes spine transthor w/vent,yes
00630,Anesth spine cord surgery,yes
00632,Anesth removal of nerves,yes
00635,Anesth lumbar puncture,yes
00640,Anesth spine manipulation,yes
00670,Anesth spine cord surgery,yes
00700,Anesth abdominal wall surg,yes
00702,Anesth for liver biopsy,yes
00730,Anesth abdominal wall surg,yes
00740,Anesth upper gi visualize,yes
00750,Anesth repair of hernia,yes
00752,Anesth repair of hernia,yes
00754,Anesth repair of hernia,yes
00756,Anesth repair of hernia,yes
00770,Anesth blood vessel repair,yes
00790,Anesth surg upper abdomen,yes
00792,Anesth hemorr/excise liver,yes
00794,Anesth pancreas removal,yes
00796,Anesth for liver transplant,yes
00797,Anesth surgery for obesity,yes
00800,Anesth abdominal wall surg,yes
00802,Anesth fat layer removal,yes
00810,Anesth low intestine scope,yes
00820,Anesth abdominal wall surg,yes
00830,Anesth repair of hernia,yes
00832,Anesth repair of hernia,yes
00834,Anesth hernia repair < 1 yr,yes
00836,Anesth hernia repair preemie,yes
00840,Anesth surg lower abdomen,yes
00842,Anesth amniocentesis,yes
00844,Anesth pelvis surgery,yes
00846,Anesth hysterectomy,yes
00848,Anesth pelvic organ surg,yes
00851,Anesth tubal ligation,yes
00860,Anesth surgery of abdomen,yes
00862,Anesth kidney/ureter surg,yes
00864,Anesth removal of bladder,yes
00865,Anesth removal of prostate,yes
00866,Anesth removal of adrenal,yes
00868,Anesth kidney transplant,yes
00870,Anesth bladder stone surg,yes
00872,Anesth kidney stone destruct,yes
00873,Anesth kidney stone destruct,yes
00880,Anesth abdomen vessel surg,yes
00882,Anesth major vein ligation,yes
00902,Anesth anorectal surgery,yes
00904,Anesth perineal surgery,yes
00906,Anesth removal of vulva,yes
00908,Anesth removal of prostate,yes
00910,Anesth bladder surgery,yes
00912,Anesth bladder tumor surg,yes
00914,Anesth removal of prostate,yes
00916,Anesth bleeding control,yes
00918,Anesth stone removal,yes
00920,Anesth genitalia surgery,yes
00921,Anesth vasectomy,yes
00922,Anesth sperm duct surgery,yes
00924,Anesth testis exploration,yes
00926,Anesth removal of testis,yes
00928,Anesth removal of testis,yes
00930,Anesth testis suspension,yes
00932,Anesth amputation of penis,yes
00934,Anesth penis nodes removal,yes
00936,Anesth penis nodes removal,yes
00938,Anesth insert penis device,yes
00940,Anesth vaginal procedures,yes
00942,Anesth surg on vag/urethral,yes
00944,Anesth vaginal hysterectomy,yes
00948,Anesth repair of cervix,yes
00950,Anesth vaginal endoscopy,yes
00952,Anesth hysteroscope/graph,yes
01112,Anesth bone aspirate/bx,yes
01120,Anesth pelvis surgery,yes
01130,Anesth body cast procedure,yes
01140,Anesth amputation at pelvis,yes
01150,Anesth pelvic tumor surgery,yes
01160,Anesth pelvis procedure,yes
01170,Anesth pelvis surgery,yes
01173,Anesth fx repair pelvis,yes
01180,Anesth pelvis nerve removal,yes
01190,Anesth pelvis nerve removal,yes
01200,Anesth hip joint procedure,yes
01202,Anesth arthroscopy of hip,yes
01210,Anesth hip joint surgery,yes
01212,Anesth hip disarticulation,yes
01214,Anesth hip arthroplasty,yes
01215,Anesth revise hip repair,yes
01220,Anesth procedure on femur,yes
01230,Anesth surgery of femur,yes
01232,Anesth amputation of femur,yes
01234,Anesth radical femur surg,yes
01250,Anesth upper leg surgery,yes
01260,Anesth upper leg veins surg,yes
01270,Anesth thigh arteries surg,yes
01272,Anesth femoral artery surg,yes
01274,Anesth femoral embolectomy,yes
01320,Anesth knee area surgery,yes
01340,Anesth knee area procedure,yes
01360,Anesth knee area surgery,yes
01380,Anesth knee joint procedure,yes
01382,Anesth dx knee arthroscopy,yes
01390,Anesth knee area procedure,yes
01392,Anesth knee area surgery,yes
01400,Anesth knee joint surgery,yes
01402,Anesth knee arthroplasty,yes
01404,Anesth amputation at knee,yes
01420,Anesth knee joint casting,yes
01430,Anesth knee veins surgery,yes
01432,Anesth knee vessel surg,yes
01440,Anesth knee arteries surg,yes
01442,Anesth knee artery surg,yes
01444,Anesth knee artery repair,yes
01462,Anesth lower leg procedure,yes
01464,Anesth ankle/ft arthroscopy,yes
01470,Anesth lower leg surgery,yes
01472,Anesth achilles tendon surg,yes
01474,Anesth lower leg surgery,yes
01480,Anesth lower leg bone surg,yes
01482,Anesth radical leg surgery,yes
01484,Anesth lower leg revision,yes
01486,Anesth ankle replacement,yes
01490,Anesth lower leg casting,yes
01500,Anesth leg arteries surg,yes
01502,Anesth lwr leg embolectomy,yes
01520,Anesth lower leg vein surg,yes
01522,Anesth lower leg vein surg,yes
01610,Anesth surgery of shoulder,yes
01620,Anesth shoulder procedure,yes
01622,Anes dx shoulder arthroscopy,yes
01630,Anesth surgery of shoulder,yes
01634,Anesth shoulder joint amput,yes
01636,Anesth forequarter amput,yes
01638,Anesth shoulder replacement,yes
01650,Anesth shoulder artery surg,yes
01652,Anesth shoulder vessel surg,yes
01654,Anesth shoulder vessel surg,yes
01656,Anesth arm-leg vessel surg,yes
01670,Anesth shoulder vein surg,yes
01680,Anesth shoulder casting,yes
01682,Anesth airplane cast,yes
01710,Anesth elbow area surgery,yes
01712,Anesth uppr arm tendon surg,yes
01714,Anesth uppr arm tendon surg,yes
01716,Anesth biceps tendon repair,yes
01730,Anesth uppr arm procedure,yes
01732,Anesth dx elbow arthroscopy,yes
01740,Anesth upper arm surgery,yes
01742,Anesth humerus surgery,yes
01744,Anesth humerus repair,yes
01756,Anesth radical humerus surg,yes
01758,Anesth humeral lesion surg,yes
01760,Anesth elbow replacement,yes
01770,Anesth uppr arm artery surg,yes
01772,Anesth uppr arm embolectomy,yes
01780,Anesth upper arm vein surg,yes
01782,Anesth uppr arm vein repair,yes
01810,Anesth lower arm surgery,yes
01820,Anesth lower arm procedure,yes
01829,Anesth dx wrist arthroscopy,yes
01830,Anesth lower arm surgery,yes
01832,Anesth wrist replacement,yes
01840,Anesth lwr arm artery surg,yes
01842,Anesth lwr arm embolectomy,yes
01844,Anesth vascular shunt surg,yes
01850,Anesth lower arm vein surg,yes
01852,Anesth lwr arm vein repair,yes
01860,Anesth lower arm casting,yes
01916,Anesth dx arteriography,yes
01920,Anesth catheterize heart,yes
01922,Anesth cat or mri scan,yes
01924,Anes ther interven rad artrl,yes
01925,Anes ther interven rad card,yes
01926,Anes tx interv rad hrt/cran,yes
01930,Anes ther interven rad vein,yes
01931,Anes ther interven rad tips,yes
01932,Anes tx interv rad th vein,yes
01933,Anes tx interv rad cran vein,yes
01935,Anesth perc img dx sp proc,yes
01936,Anesth perc img tx sp proc,yes
01951,Anesth burn less 4 percent,yes
01952,Anesth burn 4-9 percent,yes
01958,Anesth antepartum manipul,yes
01960,Anesth vaginal delivery,yes
01961,Anesth cs delivery,yes
01962,Anesth emer hysterectomy,yes
01963,Anesth cs hysterectomy,yes
01965,Anesth inc/missed ab proc,yes
01967,Anesth/analg vag delivery,yes
01990,Support for organ donor,yes
01991,Anesth nerve block/inj,yes
01992,Anesth n block/inj prone,yes
01996,Hosp manage cont drug admin,yes
01999,Unlisted anesth procedure,yes
10021,Fna w/o image,yes
10022,Fna w/image,yes
10030,Guide cathet fluid drainage,yes
10040,Acne surgery,yes
10060,Drainage of skin abscess,yes
10061,Drainage of skin abscess,yes
10080,Drainage of pilonidal cyst,yes
10081,Drainage of pilonidal cyst,yes
10120,Remove foreign body,yes
10121,Remove foreign body,yes
10140,Drainage of hematoma/fluid,yes
10160,Puncture drainage of lesion,yes
10180,Complex drainage wound,yes
11000,Debride infected skin,yes
11004,Debride genitalia & perineum,yes
11005,Debride abdom wall,yes
11006,Debride genit/per/abdom wall,yes
11010,Debride skin at fx site,yes
11011,Debride skin musc at fx site,yes
11012,Deb skin bone at fx site,yes
11042,Deb subq tissue 20 sq cm/<,yes
11043,Deb musc/fascia 20 sq cm/<,yes
11044,Deb bone 20 sq cm/<,yes
11055,Trim skin lesion,yes
11056,Trim skin lesions 2 to 4,yes
11057,Trim skin lesions over 4,yes
11200,Removal of skin tags <w/15,yes
11300,Shave skin lesion 0.5 cm/<,yes
11301,Shave skin lesion 0.6-1.0 cm,yes
11302,Shave skin lesion 1.1-2.0 cm,yes
11303,Shave skin lesion >2.0 cm,yes
11305,Shave skin lesion 0.5 cm/<,yes
11306,Shave skin lesion 0.6-1.0 cm,yes
11307,Shave skin lesion 1.1-2.0 cm,yes
11308,Shave skin lesion >2.0 cm,yes
11310,Shave skin lesion 0.5 cm/<,yes
11311,Shave skin lesion 0.6-1.0 cm,yes
11312,Shave skin lesion 1.1-2.0 cm,yes
11313,Shave skin lesion >2.0 cm,yes
11400,Exc tr-ext b9+marg 0.5 cm<,yes
11401,Exc tr-ext b9+marg 0.6-1 cm,yes
11402,Exc tr-ext b9+marg 1.1-2 cm,yes
11403,Exc tr-ext b9+marg 2.1-3cm/<,yes
11404,Exc tr-ext b9+marg 3.1-4 cm,yes
11406,Exc tr-ext b9+marg >4.0 cm,yes
11420,Exc h-f-nk-sp b9+marg 0.5/<,yes
11421,Exc h-f-nk-sp b9+marg 0.6-1,yes
11422,Exc h-f-nk-sp b9+marg 1.1-2,yes
11423,Exc h-f-nk-sp b9+marg 2.1-3,yes
11424,Exc h-f-nk-sp b9+marg 3.1-4,yes
11426,Exc h-f-nk-sp b9+marg >4 cm,yes
11440,Exc face-mm b9+marg 0.5 cm/<,yes
11441,Exc face-mm b9+marg 0.6-1 cm,yes
11442,Exc face-mm b9+marg 1.1-2 cm,yes
11443,Exc face-mm b9+marg 2.1-3 cm,yes
11444,Exc face-mm b9+marg 3.1-4 cm,yes
11446,Exc face-mm b9+marg >4 cm,yes
11450,Removal sweat gland lesion,yes
11451,Removal sweat gland lesion,yes
11462,Removal sweat gland lesion,yes
11463,Removal sweat gland lesion,yes
11470,Removal sweat gland lesion,yes
11471,Removal sweat gland lesion,yes
11600,Exc tr-ext mal+marg 0.5 cm/<,yes
11601,Exc tr-ext mal+marg 0.6-1 cm,yes
11602,Exc tr-ext mal+marg 1.1-2 cm,yes
11603,Exc tr-ext mal+marg 2.1-3 cm,yes
11604,Exc tr-ext mal+marg 3.1-4 cm,yes
11606,Exc tr-ext mal+marg >4 cm,yes
11620,Exc h-f-nk-sp mal+marg 0.5/<,yes
11621,Exc s/n/h/f/g mal+mrg 0.6-1,yes
11622,Exc s/n/h/f/g mal+mrg 1.1-2,yes
11623,Exc s/n/h/f/g mal+mrg 2.1-3,yes
11624,Exc s/n/h/f/g mal+mrg 3.1-4,yes
11626,Exc s/n/h/f/g mal+mrg >4 cm,yes
11640,Exc f/e/e/n/l mal+mrg 0.5cm<,yes
11641,Exc f/e/e/n/l mal+mrg 0.6-1,yes
11642,Exc f/e/e/n/l mal+mrg 1.1-2,yes
11643,Exc f/e/e/n/l mal+mrg 2.1-3,yes
11644,Exc f/e/e/n/l mal+mrg 3.1-4,yes
11646,Exc f/e/e/n/l mal+mrg >4 cm,yes
11719,Trim nail(s) any number,yes
11720,Debride nail 1-5,yes
11721,Debride nail 6 or more,yes
11730,Removal of nail plate,yes
11740,Drain blood from under nail,yes
11750,Removal of nail bed,yes
11752,Remove nail bed/tip,yes
11760,Repair of nail bed,yes
11762,Reconstruction of nail bed,yes
11765,Excision of nail fold toe,yes
11770,Remove pilonidal cyst simple,yes
11771,Remove pilonidal cyst exten,yes
11772,Remove pilonidal cyst compl,yes
11900,Inject skin lesions </w 7,yes
11901,Inject skin lesions >7,yes
11920,Correct skin color 6.0 cm/<,yes
11921,Corect skin color 6.1-20.0cm,yes
11950,Tx contour defects 1 cc/<,yes
11951,Tx contour defects 1.1-5.0cc,yes
11952,Tx contour defects 5.1-10cc,yes
11954,Tx contour defects >10.0 cc,yes
11960,Insert tissue expander(s),yes
11970,Replace tissue expander,yes
11971,Remove tissue expander(s),yes
11976,Remove contraceptive capsule,yes
11980,Implant hormone pellet(s),yes
11981,Insert drug implant device,yes
11982,Remove drug implant device,yes
11983,Remove/insert drug implant,yes
12001,Rpr s/n/ax/gen/trnk 2.5cm/<,yes
12002,Rpr s/n/ax/gen/trnk2.6-7.5cm,yes
12004,Rpr s/n/ax/gen/trk7.6-12.5cm,yes
12005,Rpr s/n/a/gen/trk12.6-20.0cm,yes
12006,Rpr s/n/a/gen/trk20.1-30.0cm,yes
12007,Rpr s/n/ax/gen/trnk >30.0 cm,yes
12011,Rpr f/e/e/n/l/m 2.5 cm/<,yes
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm,yes
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm,yes
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,yes
12016,Rpr fe/e/en/l/m 12.6-20.0 cm,yes
12017,Rpr fe/e/en/l/m 20.1-30.0 cm,yes
12018,Rpr f/e/e/n/l/m >30.0 cm,yes
12020,Closure of split wound,yes
12021,Closure of split wound,yes
12031,Intmd rpr s/a/t/ext 2.5 cm/<,yes
12032,Intmd rpr s/a/t/ext 2.6-7.5,yes
12034,Intmd rpr s/tr/ext 7.6-12.5,yes
12035,Intmd rpr s/a/t/ext 12.6-20,yes
12036,Intmd rpr s/a/t/ext 20.1-30,yes
12037,Intmd rpr s/tr/ext >30.0 cm,yes
12041,Intmd rpr n-hf/genit 2.5cm/<,yes
12042,Intmd rpr n-hf/genit2.6-7.5,yes
12044,Intmd rpr n-hf/genit7.6-12.5,yes
12045,Intmd rpr n-hf/genit12.6-20,yes
12046,Intmd rpr n-hf/genit20.1-30,yes
12047,Intmd rpr n-hf/genit >30.0cm,yes
12051,Intmd rpr face/mm 2.5 cm/<,yes
12052,Intmd rpr face/mm 2.6-5.0 cm,yes
12053,Intmd rpr face/mm 5.1-7.5 cm,yes
12054,Intmd rpr face/mm 7.6-12.5cm,yes
12055,Intmd rpr face/mm 12.6-20 cm,yes
12056,Intmd rpr face/mm 20.1-30.0,yes
12057,Intmd rpr face/mm >30.0 cm,yes
13100,Cmplx rpr trunk 1.1-2.5 cm,yes
13101,Cmplx rpr trunk 2.6-7.5 cm,yes
13120,Cmplx rpr s/a/l 1.1-2.5 cm,yes
13121,Cmplx rpr s/a/l 2.6-7.5 cm,yes
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f,yes
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,yes
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm,yes
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm,yes
13160,Late closure of wound,yes
14000,Tis trnfr trunk 10 sq cm/<,yes
14001,Tis trnfr trunk 10.1-30sqcm,yes
14020,Tis trnfr s/a/l 10 sq cm/<,yes
14021,Tis trnfr s/a/l 10.1-30 sqcm,yes
14040,Tis trnfr f/c/c/m/n/a/g/h/f,yes
14041,Tis trnfr f/c/c/m/n/a/g/h/f,yes
14060,Tis trnfr e/n/e/l 10 sq cm/<,yes
14061,Tis trnfr e/n/e/l10.1-30sqcm,yes
14301,Tis trnfr any 30.1-60 sq cm,yes
14350,Filleted finger/toe flap,yes
15002,Wound prep trk/arm/leg,yes
15004,Wound prep f/n/hf/g,yes
15040,Harvest cultured skin graft,yes
15050,Skin pinch graft,yes
15100,Skin splt grft trnk/arm/leg,yes
15110,Epidrm autogrft trnk/arm/leg,yes
15115,Epidrm a-grft face/nck/hf/g,yes
15120,Skn splt a-grft fac/nck/hf/g,yes
15130,Derm autograft trnk/arm/leg,yes
15135,Derm autograft face/nck/hf/g,yes
15150,Cult skin grft t/arm/leg,yes
15155,Cult skin graft f/n/hf/g,yes
15200,Skin full graft trunk,yes
15220,Skin full graft sclp/arm/leg,yes
15240,Skin full grft face/genit/hf,yes
15260,Skin full graft een & lips,yes
15271,Skin sub graft trnk/arm/leg,yes
15273,Skin sub grft t/arm/lg child,yes
15275,Skin sub graft face/nk/hf/g,yes
15277,Skn sub grft f/n/hf/g child,yes
15570,Skin pedicle flap trunk,yes
15572,Skin pedicle flap arms/legs,yes
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f,yes
15576,Pedicle e/n/e/l/ntroral,yes
15600,Delay flap trunk,yes
15610,Delay flap arms/legs,yes
15620,Delay flap f/c/c/n/ax/g/h/f,yes
15630,Delay flap eye/nos/ear/lip,yes
15650,Transfer skin pedicle flap,yes
15731,Forehead flap w/vasc pedicle,yes
15732,Muscle-skin graft head/neck,yes
15734,Muscle-skin graft trunk,yes
15736,Muscle-skin graft arm,yes
15738,Muscle-skin graft leg,yes
15740,Island pedicle flap graft,yes
15750,Neurovascular pedicle flap,yes
15756,Free myo/skin flap microvasc,yes
15757,Free skin flap microvasc,yes
15758,Free fascial flap microvasc,yes
15760,Composite skin graft,yes
15770,Derma-fat-fascia graft,yes
15775,Hair trnspl 1-15 punch grfts,yes
15776,Hair trnspl >15 punch grafts,yes
15780,Dermabrasion total face,yes
15781,Dermabrasion segmental face,yes
15782,Dermabrasion other than face,yes
15783,Dermabrasion suprfl any site,yes
15786,Abrasion lesion single,yes
15788,Chemical peel face epiderm,yes
15789,Chemical peel face dermal,yes
15792,Chemical peel nonfacial,yes
15793,Chemical peel nonfacial,yes
15819,Plastic surgery neck,yes
15820,Revision of lower eyelid,yes
15821,Revision of lower eyelid,yes
15822,Revision of upper eyelid,yes
15823,Revision of upper eyelid,yes
15824,Removal of forehead wrinkles,yes
15825,Removal of neck wrinkles,yes
15826,Removal of brow wrinkles,yes
15828,Removal of face wrinkles,yes
15829,Removal of skin wrinkles,yes
15830,Exc skin abd,yes
15832,Excise excessive skin thigh,yes
15833,Excise excessive skin leg,yes
15834,Excise excessive skin hip,yes
15835,Excise excessive skin buttck,yes
15836,Excise excessive skin arm,yes
15837,Excise excess skin arm/hand,yes
15838,Excise excess skin fat pad,yes
15839,Excise excess skin & tissue,yes
15840,Nerve palsy fascial graft,yes
15841,Nerve palsy muscle graft,yes
15842,Nerve palsy microsurg graft,yes
15845,Skin and muscle repair face,yes
15850,Remove sutures same surgeon,yes
15851,Remove sutures diff surgeon,yes
15852,Dressing change not for burn,yes
15860,Test for blood flow in graft,yes
15876,Suction lipectomy head&neck,yes
15877,Suction lipectomy trunk,yes
15878,Suction lipectomy upr extrem,yes
15879,Suction lipectomy lwr extrem,yes
15920,Removal of tail bone ulcer,yes
15922,Removal of tail bone ulcer,yes
15931,Remove sacrum pressure sore,yes
15933,Remove sacrum pressure sore,yes
15934,Remove sacrum pressure sore,yes
15935,Remove sacrum pressure sore,yes
15936,Remove sacrum pressure sore,yes
15937,Remove sacrum pressure sore,yes
15940,Remove hip pressure sore,yes
15941,Remove hip pressure sore,yes
15944,Remove hip pressure sore,yes
15945,Remove hip pressure sore,yes
15946,Remove hip pressure sore,yes
15950,Remove thigh pressure sore,yes
15951,Remove thigh pressure sore,yes
15952,Remove thigh pressure sore,yes
15953,Remove thigh pressure sore,yes
15956,Remove thigh pressure sore,yes
15958,Remove thigh pressure sore,yes
15999,Removal of pressure sore,yes
16000,Initial treatment of burn(s),yes
16020,Dress/debrid p-thick burn s,yes
16025,Dress/debrid p-thick burn m,yes
16030,Dress/debrid p-thick burn l,yes
16035,Incision of burn scab initi,yes
17000,Destruct premalg lesion,yes
17004,Destroy premal lesions 15/>,yes
17106,Destruction of skin lesions,yes
17107,Destruction of skin lesions,yes
17108,Destruction of skin lesions,yes
17110,Destruct b9 lesion 1-14,yes
17111,Destruct lesion 15 or more,yes
17250,Chemical cautery tissue,yes
17260,Destruction of skin lesions,yes
17261,Destruction of skin lesions,yes
17262,Destruction of skin lesions,yes
17263,Destruction of skin lesions,yes
17264,Destruction of skin lesions,yes
17266,Destruction of skin lesions,yes
17270,Destruction of skin lesions,yes
17271,Destruction of skin lesions,yes
17272,Destruction of skin lesions,yes
17273,Destruction of skin lesions,yes
17274,Destruction of skin lesions,yes
17276,Destruction of skin lesions,yes
17280,Destruction of skin lesions,yes
17281,Destruction of skin lesions,yes
17282,Destruction of skin lesions,yes
17283,Destruction of skin lesions,yes
17284,Destruction of skin lesions,yes
17286,Destruction of skin lesions,yes
17311,Mohs 1 stage h/n/hf/g,yes
17313,Mohs 1 stage t/a/l,yes
17340,Cryotherapy of skin,yes
17360,Skin peel therapy,yes
17380,Hair removal by electrolysis,yes
17999,Skin tissue procedure,yes
